obligation,domaine,libelle,periodicite,realisateurs,criticite,champ,conditions,rang,source,reference,article,url,versionConstatee,corpus,statutCorpus,lecture,luLe,versionEnVigueur,prescrit,verbatim,note,alertes
elec-igh-annuelle,electricite,Vérification annuelle des installations électriques (IGH),annuelle,organisme_agree,5,IGH,,fondement,ARRETE,"Arrêté du 30 décembre 2011 (règlement IGH), art. GH 5 (vérifications techniques par organismes agréés)",GH 5,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000025169258,,arrete-2011-12-30-igh,retenu,agent (verbatim non recoupé),2026-08-26,2026-01-01,"TROIS RYTHMES SUR QUATRE NON PORTÉS, relevés le 2026-08-27. « 3.1.1. Tous les six mois » (ascenseurs équipés de dispositifs d'appel prioritaire), « 3.1.3. Tous les deux ans » (paratonnerres), « 3.1.4. Tous les cinq ans » (évaluation de la charge calorifique de GH 61). Seul l'annuel est encodé. Faute de porteur : l'appel prioritaire est une propriété d'ascenseur absente du modèle, et ni les paratonnerres ni la charge calorifique n'ont de catégorie d'équipement. La règle des « 20 % par an » sur les ouvrants de désenfumage n'est PAS un cinquième rythme : c'est un bouclage interne à l'annuel, à couvrir en cinq ans.",,,CORPUS_NE_RENVOIE_PAS SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-hotel-po-controle-annuel-electricite,electricite,Contrôle annuel des installations électriques (hôtel de 5ᵉ catégorie),annuelle,personne_qualifiee,5,ERP cat. N5 type O,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. PO 1 § 3 (règles spécifiques aux hôtels)",PO 1,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020374775/2018-01-01,2018-01-01,arrete-1980-livre-3,retenu,première main,2026-08-26,2018-01-01,"Chapitre IV — hôtels (type O) de 5ᵉ catégorie. Trois rythmes : biennal sur l'ensemble des installations techniques, annuel sur les installations électriques et les systèmes de détection incendie, renvoi à AS 9 pour les ascenseurs. Le volet électrique est porté depuis le 2026-08-26 : il comblait un vrai trou, `elec-erp-cat1-4-annuelle` s'arrêtant aux quatre premières catégories. Le volet détection est déjà couvert par `incendie-erp-ssi-annuelle`, qui vaut pour tous les ERP. Le volet biennal est déclaré à part. Lu en première main le 2026-08-26.","« § 3. L'ensemble des installations techniques doit être contrôlé par un technicien compétent tous les deux ans, à l'exception des installations électriques et des systèmes de détection incendie qui doivent être contrôlés annuellement. Le contrôle des ascenseurs relève des dispositions particulières précisées dans le cadre de l'article AS 9 du règlement. »","« L'ensemble des installations techniques doit être contrôlé par un technicien compétent tous les deux ans, à l'exception des installations électriques et des systèmes de détection incendie qui doivent être contrôlés annuellement. » Verbatim relevé en première main le 2026-08-26.",
incendie-hotel-po-controle-annuel-electricite,electricite,Contrôle annuel des installations électriques (hôtel de 5ᵉ catégorie),annuelle,personne_qualifiee,5,ERP cat. N5 type O,,contexte 1,ARRETE,"Arrêté du 25 juin 1980, art. PO 8 § 1 (extension aux hôtels existants)",PO 8,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020374775/,2011-10-30,arrete-1980-livre-3,retenu,première main,2026-08-26,2011-10-30,"Ferme une question restée ouverte. PO 1 § 3 figure dans la section 1, intitulée « Prescriptions applicables aux établissements à construire ou à modifier » — on pouvait craindre que ses périodicités ne visent que les hôtels neufs. PO 8 § 1 ouvre la section 2, « Prescriptions applicables aux établissements existant », et y réimporte PO 1 (§ 3) NOMMÉMENT. Le contrôle annuel des installations électriques vaut donc pour TOUS les hôtels. Le § 3 impose en outre au chef d'établissement, lorsqu'une prescription ne peut être appliquée pour raisons architecturales, de proposer des solutions alternatives approuvées par la commission après analyse de risque — obligation nominative, sans périodicité.","« § 1. Les prescriptions définies dans la présente section sont applicables en complément des articles PE 4, PE 24, PE 26, PE 27, PE 32, PE 36, PO 1 (§ 3) et PO 5. »","« Les prescriptions définies dans la présente section sont applicables en complément des articles PE 4, PE 24, PE 26, PE 27, PE 32, PE 36, PO 1 (§ 3) et PO 5. » Verbatim relevé en première main le 2026-08-26. PO 1 § 3 figure dans la section 1, intitulée « Prescriptions applicables aux établissements à construire ou à modifier » ; PO 8 § 1 ouvre la section 2, « Prescriptions applicables aux établissements existant », et l'y réimporte nommément. La périodicité vaut donc pour TOUS les hôtels, pas seulement les neufs.",
elec-travail-rapport-quadriennal,electricite,Rapport quadriennal — mise à jour complète du descriptif électrique,quadriennale,organisme_accredite ou personne_qualifiee,4,tout employeur,,fondement,ARRETE,"Arrêté du 26 décembre 2011, annexe II, point 3.5 (mise à jour des renseignements descriptifs)",Arrêté 2011-12-26 annexe II,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000025100353,2011-12-30,arrete-2011-12-26-electricite,retenu,première main,2026-08-26,2011-12-30,"Fixe le contenu des rapports, et au point 3.5 une PÉRIODICITÉ que le référentiel ignorait : le rapport quadriennal. C'est ce qui empêche la vérification périodique de dériver — les rapports périodiques ne consignent que les non-conformités, sur la foi d'un descriptif établi une fois. Le point 4 impose en outre à l'organisme de conserver, à chaque vérification périodique, la liste des appareils, circuits et dispositifs différentiels vérifiés : obligation pesant sur le vérificateur, pas sur l'exploitant, donc hors du calendrier.","« 3.5. Mise à jour des renseignements descriptifs. Une mise à jour complète de l'ensemble des renseignements descriptifs doit être effectuée tous les quatre ans ; elle donnera lieu à un rapport, dit ""quadriennal"", rédigé comme un rapport de visite initiale. »","« Une mise à jour complète de l'ensemble des renseignements descriptifs doit être effectuée tous les quatre ans ; elle donnera lieu à un rapport, dit ""quadriennal"", rédigé comme un rapport de visite initiale. » Verbatim relevé en première main le 2026-08-26.",
elec-travail-rapport-quadriennal,electricite,Rapport quadriennal — mise à jour complète du descriptif électrique,quadriennale,organisme_accredite ou personne_qualifiee,4,tout employeur,,contexte 1,CODE_TRAVAIL,R. 4226-16 (vérification périodique annuelle),R. 4226-16,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000018490547/,,code-travail-electricite,retenu,agent (verbatim non recoupé),2026-08-26,2011-07-01,,,,CORPUS_NE_RENVOIE_PAS SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-moyens-lutte,incendie,Présence et maintien en état des moyens de lutte contre l'incendie (travail),autre,personne_qualifiee ou personne_competente,5,tout employeur,,fondement,CODE_TRAVAIL,R. 4227-28,R. 4227-28,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000018532081/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2008-05-01,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-moyens-lutte,incendie,Présence et maintien en état des moyens de lutte contre l'incendie (travail),autre,personne_qualifiee ou personne_competente,5,tout employeur,,contexte 1,CODE_TRAVAIL,R. 4227-29,R. 4227-29,https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072050/LEGISCTA000018489127/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2008-05-01,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-consigne-affichee,incendie,Consigne de sécurité incendie établie et affichée,autre,exploitant,3,tout employeur,,fondement,CODE_TRAVAIL,R. 4227-37 et R. 4227-38,R. 4227-37,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000024769379/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2011-11-10,,,,SANS_VERBATIM VERSION_FUTURE:2027-01-01 VERSION_JAMAIS_CONSTATEE
incendie-travail-exercice-semestriel,incendie,Essais du matériel et exercices d'évacuation semestriels,semestrielle,exploitant,4,tout employeur,,fondement,CODE_TRAVAIL,R. 4227-39,R. 4227-39,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000024769386/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2011-11-10,,,,PERIODICITE_SANS_TEXTE_PORTEUR SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-exercice-semestriel,incendie,Essais du matériel et exercices d'évacuation semestriels,semestrielle,exploitant,4,tout employeur,,contexte 1,CODE_TRAVAIL,R. 4227-34,R. 4227-34,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000018532067/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2008-05-01,,,"Article qui pose le seuil : établissements où peuvent se trouver occupées ou réunies habituellement plus de cinquante personnes, ainsi que ceux, quelle que soit leur importance, où sont manipulées et mises en œuvre des matières inflammables.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-registre-securite,incendie,Tenue du registre de sécurité,autre,exploitant,3,tout employeur · ERP,,fondement,CODE_TRAVAIL,R. 4227-39,R. 4227-39,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000024769386,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2011-11-10,,,"Consignation sur registre des essais et exercices périodiques, avec leur date et les observations auxquelles ils ont donné lieu.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-registre-securite,incendie,Tenue du registre de sécurité,autre,exploitant,3,tout employeur · ERP,,contexte 1,CODE_TRAVAIL,L. 4711-5,L. 4711-5,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006903389/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2008-05-01,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-registre-securite,incendie,Tenue du registre de sécurité,autre,exploitant,3,tout employeur · ERP,,contexte 2,CCH,"CCH, art. R. 143-44 (ex R. 123-51) — ERP",CCH R. 143-44,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000043819037/,2026-07-01,cch-registre-securite,retenu,première main,2026-08-26,2026-07-01,,,"Version en vigueur depuis le 1er juillet 2026 (décret n° 2025-1100 du 19 novembre 2025) : ajout du 5° sur les dates des exercices de sécurité incendie, et renvoi aux articles R. 141-10 et R. 141-11. Vise « les établissements soumis aux prescriptions du présent chapitre » — tous les ERP, 5e catégorie comprise.",SANS_VERBATIM
incendie-registre-securite,incendie,Tenue du registre de sécurité,autre,exploitant,3,tout employeur · ERP,,contexte 3,CCH,"CCH, art. R. 141-10 — contenu du registre",CCH R. 141-10,https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006074096/LEGISCTA000043818891/,2026-07-01,cch-registre-securite,retenu,première main,2026-08-26,2026-07-01,,,"Créé au 1er juillet 2026. Le registre « comprend en particulier les vérifications réalisées, les mesures de correction des écarts constatés ainsi que les diverses consignes établies en cas d'incendie, y compris concernant l'évacuation et la mise en sécurité des personnes ».",SANS_VERBATIM
incendie-registre-securite,incendie,Tenue du registre de sécurité,autre,exploitant,3,tout employeur · ERP,,contexte 4,CCH,"CCH, art. R. 141-11 — solutions d'effet équivalent",CCH R. 141-11,https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006074096/LEGISCTA000043818891/,2026-07-01,cch-registre-securite,retenu,première main,2026-08-26,2026-07-01,,,Créé au 1er juillet 2026. Les éléments identifiant une solution d'effet équivalent sont annexés au registre. Sans objet pour un établissement qui n'en met aucune en œuvre.,SANS_VERBATIM
incendie-registre-securite,incendie,Tenue du registre de sécurité,autre,exploitant,3,tout employeur · ERP,,contexte 5,CCH,"CCH, art. R. 146-35 (ex R. 122-29) — IGH",CCH R. 146-35,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000043819153,2026-07-01,cch-registre-securite,retenu,première main,2026-08-26,2026-07-01,,,,SANS_VERBATIM
incendie-travail-eclairage-securite-essai-mensuel,incendie,Essai mensuel de l'éclairage de sécurité (lieu de travail),mensuelle,exploitant,3,tout employeur,,fondement,ARRETE,"Arrêté du 14 décembre 2011, art. 11",Arrêté 2011-12-14 art. 11,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000025072657,,arrete-2011-12-14-eclairage,retenu,agent (verbatim non recoupé),2026-08-26,2011-12-31,,,"« Dans le cadre de la maintenance prescrite à l'article R. 4226-7 du code du travail, l'employeur procède aux vérifications de fonctionnement périodiques suivantes : Une fois par mois : a) Du passage à la position de fonctionnement en cas de défaillance de l'alimentation normale et de l'allumage de toutes les lampes […] ; b) De l'efficacité de la commande de mise en position de repos à distance et de la remise automatique en position de veille au retour de l'alimentation normale. »",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-eclairage-securite-essai-mensuel,incendie,Essai mensuel de l'éclairage de sécurité (lieu de travail),mensuelle,exploitant,3,tout employeur,,contexte 1,CODE_TRAVAIL,R. 4227-14,R. 4227-14,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022764985,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2011-07-01,,,Fonde l'obligation d'éclairage de sécurité en lieu de travail et renvoie à un arrêté le soin de fixer « les conditions d'exploitation et de maintenance de cet éclairage ». Ne fixe lui-même aucune périodicité : c'est l'arrêté du 14 décembre 2011 qui la pose.,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-eclairage-securite-essai-mensuel,incendie,Essai mensuel de l'éclairage de sécurité (lieu de travail),mensuelle,exploitant,3,tout employeur,,contexte 2,CODE_TRAVAIL,R. 4226-19,R. 4226-19,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022765064/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2011-07-01,,,"Registre sur lequel l'article 11 de l'arrêté fait porter le résultat des opérations. Support de consignation, pas fondement de la périodicité.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-eclairage-securite-essai-mensuel,incendie,Essai mensuel de l'éclairage de sécurité (lieu de travail),mensuelle,exploitant,3,tout employeur,,contexte 3,ARRETE,"Arrêté du 14 décembre 2011, art. 1er",Arrêté 2011-12-14 art. 1,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000025072663,,arrete-2011-12-14-eclairage,retenu,agent (verbatim non recoupé),2026-08-26,2011-12-31,,,"Fonde le `erp: false` : « Dans les établissements recevant du public, pour les locaux dont la fonction essentielle est de recevoir du public et pour les dégagements accessibles au public, les dispositions du règlement de sécurité relatif à de tels établissements sont seules applicables à l'éclairage de sécurité de ces locaux ou dégagements. » Texte relu le 23 août 2026.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-eclairage-securite-autonomie-semestrielle,incendie,Vérification semestrielle de l'autonomie de l'éclairage de sécurité (lieu de travail),semestrielle,exploitant,4,tout employeur,,fondement,ARRETE,"Arrêté du 14 décembre 2011, art. 11",Arrêté 2011-12-14 art. 11,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000025072657,,arrete-2011-12-14-eclairage,retenu,agent (verbatim non recoupé),2026-08-26,2011-12-31,,,"« Une fois tous les six mois, de l'autonomie d'au moins une heure. Dans les établissements comportant des périodes de fermeture, ces opérations doivent être effectuées de telle manière qu'au début de chaque période d'ouverture l'installation d'éclairage ait retrouvé l'autonomie prescrite. »",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-eclairage-securite-autonomie-semestrielle,incendie,Vérification semestrielle de l'autonomie de l'éclairage de sécurité (lieu de travail),semestrielle,exploitant,4,tout employeur,,contexte 1,CODE_TRAVAIL,R. 4227-14,R. 4227-14,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022764985,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2011-07-01,,,Fonde l'obligation d'éclairage de sécurité en lieu de travail et renvoie à un arrêté le soin de fixer « les conditions d'exploitation et de maintenance de cet éclairage ». Ne fixe lui-même aucune périodicité : c'est l'arrêté du 14 décembre 2011 qui la pose.,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-eclairage-securite-autonomie-semestrielle,incendie,Vérification semestrielle de l'autonomie de l'éclairage de sécurité (lieu de travail),semestrielle,exploitant,4,tout employeur,,contexte 2,CODE_TRAVAIL,R. 4226-19,R. 4226-19,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022765064/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2011-07-01,,,"Registre sur lequel l'article 11 de l'arrêté fait porter le résultat des opérations. Support de consignation, pas fondement de la périodicité.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-travail-eclairage-securite-autonomie-semestrielle,incendie,Vérification semestrielle de l'autonomie de l'éclairage de sécurité (lieu de travail),semestrielle,exploitant,4,tout employeur,,contexte 3,ARRETE,"Arrêté du 14 décembre 2011, art. 1er",Arrêté 2011-12-14 art. 1,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000025072663,,arrete-2011-12-14-eclairage,retenu,agent (verbatim non recoupé),2026-08-26,2011-12-31,,,"Fonde le `erp: false` : « Dans les établissements recevant du public, pour les locaux dont la fonction essentielle est de recevoir du public et pour les dégagements accessibles au public, les dispositions du règlement de sécurité relatif à de tels établissements sont seules applicables à l'éclairage de sécurité de ces locaux ou dégagements. » Texte relu le 23 août 2026.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
incendie-erp-eclairage-securite-essai-mensuel,incendie,Essai mensuel de l'éclairage de sécurité (ERP),mensuelle,exploitant,3,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. EC 14 § 3",EC 14,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000021838315,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2010-05-16,,,"« L'exploitant s'assure périodiquement : — une fois par mois : — du passage à la position de fonctionnement en cas de défaillance de l'alimentation normale et à la vérification de l'allumage de toutes les lampes (le fonctionnement doit être strictement limité au temps nécessaire au contrôle visuel) ; — de l'efficacité de la commande de mise en position de repos à distance et de la remise automatique en position de veille au retour de l'alimentation normale. — une fois tous les six mois, de l'autonomie d'au moins 1 heure. » Version en vigueur depuis le 16 mai 2010, modifiée par l'arrêté du 11 décembre 2009. Texte relu le 23 août 2026.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
